,EntryID,Reaction,ECNumber,UniProtKB_AC,Tissue,Organism,Temperature,pH,Buffer,CellularLocation,Enzyme Variant,Enzymename,Activator,Cofactor,Inhibitor,KeggReactionID,KineticMechanismType,Other Modifier,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Pathway,Product,PubMedID,Publication,Rate Equation,SabioReactionID,Substrate
0,26732,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.57, ,-,Clostridium acetobutylicum,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
1,26737,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.57, ,-,Clostridium acetobutylicum,25.0,9.0, , , , , , , , , , , , , , , , , , , , , , , 
2,31934,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,Q716S8,-,Clostridium beijerinckii,-,6.5, , , , , , , , , , , , , , , , , , , , , , , 
3,44036,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,P51015;Q79AF6;P51015,-,Burkholderia xenovorans LB400,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
4,44045,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,P51015;Q79AF6;P51015,-,Burkholderia xenovorans LB400,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
5,58965,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,Q53WH9,-,Thermus thermophilus,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
6,58967,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,Q53WH9;Q53WI0;Q53WH9,-,Thermus thermophilus,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
7,58969,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,Q53WH9;P51015;Q53WH9,-,Thermus thermophilus,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
8,58971,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,Q79AF6;Q53WI0;Q53WI0,-,Burkholderia xenovorans,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
9,58973,Coenzyme A + Acetaldehyde + NAD+ = Acetyl-CoA + H+ + NADH,1.2.1.10,Q79AF6;P51015,-,Burkholderia xenovorans,25.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
0,39574,"H2O + 2',3'-Cyclic GMP = Guanosine 3'-phosphate",3.1.4.16,Q2FZ08,-,Staphylococcus aureus,37.0,9.0, , , , , , , , , , , , , , , , , , , , , , , 
0,48471,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,P0A7D4,-,Escherichia coli,25.0,7.7, , , , , , , , , , , , , , , , , , , , , , , 
1,48472,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,P0A7D4,-,Escherichia coli,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
2,48473,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,P0A7D4,-,Escherichia coli,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
3,48474,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,P0A7D4,-,Escherichia coli,25.0,7.7, , , , , , , , , , , , , , , , , , , , , , , 
4,48475,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,P0A7D4,-,Escherichia coli,25.0,7.7, , , , , , , , , , , , , , , , , , , , , , , 
5,48476,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,P0A7D4,-,Escherichia coli,25.0,7.7, , , , , , , , , , , , , , , , , , , , , , , 
6,54013,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,O24578,seedling,Zea mays,22.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
7,54014,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,O24578,seedling,Zea mays,22.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
8,54015,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,O24578,seedling,Zea mays,22.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
9,54016,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,O24578,seedling,Zea mays,22.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
10,54017,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,O24578,seedling,Zea mays,22.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
11,54018,"IMP + GTP + L-Aspartate = GDP + Phosphate + N6-(1,2-Dicarboxyethyl)-AMP",6.3.4.4,O24578,seedling,Zea mays,22.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
0,40549,ADP-D-glycero-D-manno-heptose = ADP-L-glycero-D-manno-heptose,5.1.3.20,P67910,-,Escherichia coli,37.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
1,42726,ADP-D-glycero-D-manno-heptose = ADP-L-glycero-D-manno-heptose,5.1.3.20,P67910,-,Escherichia coli,37.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
2,42727,ADP-D-glycero-D-manno-heptose = ADP-L-glycero-D-manno-heptose,5.1.3.20,P67910,-,Escherichia coli,37.0,8.5, , , , , , , , , , , , , , , , , , , , , , , 
0,4332,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0ABK6;P0ABK5;P16703,-,Escherichia coli,22.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
1,5589,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q9YBL2,-,Aeropyrum pernix,60.0,6.7, , , , , , , , , , , , , , , , , , , , , , , 
2,8249,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0ABK5,-,Escherichia coli,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
3,8250,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0ABK5,-,Escherichia coli,25.0,7.5, , , , , , , , , , , , , , , , , , , , , , , 
4,14283,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P29848,-,Salmonella typhimurium,30.0,7.2, , , , , , , , , , , , , , , , , , , , , , , 
5,17730,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q5SLE6,-,Thermus thermophilus,50.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
6,17731,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q5SLE6,-,Thermus thermophilus,50.0,7.8, , , , , , , , , , , , , , , , , , , , , , , 
7,17732,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q5SLE6,-,Thermus thermophilus,50.0,6.0, , , , , , , , , , , , , , , , , , , , , , , 
8,17733,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q5SLE6,-,Thermus thermophilus,50.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
9,17734,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q5SLE6,-,Thermus thermophilus,50.0,8.0, , , , , , , , , , , , , , , , , , , , , , , 
10,17735,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,Q5SLE6,-,Thermus thermophilus,50.0,9.0, , , , , , , , , , , , , , , , , , , , , , , 
11,24363,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0A1E3,-,Salmonella typhimurium,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
12,24364,Hydrogen sulfide + O-Acetyl-L-serine = Acetate + L-Cysteine,2.5.1.47,P0A1E3,-,Salmonella typhimurium,25.0,7.0, , , , , , , , , , , , , , , , , , , , , , , 
